conjunctival_epithelial_cell	eye_photoreceptor_cell	Muller_cell	retinal_blood_vessel_endothelial_cell	keratocyte	corneal_epithelial_cell	melanocyte
ENSG00000198363	5.897	1.72351885098743	3.94736842105263	1.77272727272727	3.11888111888112	18.6744186046512	0.915254237288136
ENSG00000125534	15.332	1.09335727109515	3.54385964912281	1.54545454545455	4.87412587412587	29.3255813953488	5.20338983050847
ENSG00000126432	14.351	1.70736086175943	4.28070175438596	0.863636363636364	3.47552447552448	29.6976744186047	3.32203389830508
ENSG00000117595	6.721	0.0718132854578097	0.12280701754386	0.136363636363636	0.034965034965035	12.6279069767442	0.0847457627118644
ENSG00000168255	7.421	0.0861759425493716	0.12280701754386	0.0454545454545455	0.0699300699300699	10.5813953488372	0.0847457627118644
ENSG00000109846	33.596	0.829443447037702	17.4736842105263	0.772727272727273	9.77622377622378	69.5116279069767	39.6440677966102
ENSG00000135378	6.491	0.0305206463195691	0.0526315789473684	0.272727272727273	0.0979020979020979	11.7906976744186	0.11864406779661
ENSG00000136826	7.568	0.0502692998204668	0.105263157894737	1.54545454545455	4.06293706293706	19.8372093023256	0.949152542372881
ENSG00000178363	5.067	0.0610412926391382	0.0701754385964912	0	0.0699300699300699	9.37209302325581	0.0169491525423729
ENSG00000162545	1.429	0.22262118491921	1.40350877192982	0.0454545454545455	1.28671328671329	14.5348837209302	0.372881355932203
ENSG00000165474	3.862	0.0377019748653501	0.0701754385964912	0.0454545454545455	0.454545454545455	9.55813953488372	1.01694915254237
ENSG00000150782	2.862	0.321364452423698	0.228070175438596	0	0.552447552447552	14.093023255814	0.0508474576271186
ENSG00000130600	1.786	0.0269299820466786	0.0526315789473684	0	1.22377622377622	14.7906976744186	0
ENSG00000134333	14.727	3.40754039497307	6.14035087719298	4.90909090909091	4.7972027972028	36.8837209302326	10.4067796610169
ENSG00000184009	91.532	5.04847396768402	14.7894736842105	13.5454545454545	22.2867132867133	123.232558139535	41.8474576271186
ENSG00000153113	15.275	0.195691202872531	0.614035087719298	2.72727272727273	2.88811188811189	28.1627906976744	4.94915254237288
ENSG00000099968	1.219	0.350089766606822	0.666666666666667	0.272727272727273	0.328671328671329	12.5116279069767	1.11864406779661
ENSG00000172818	2.285	0.0251346499102334	0.0526315789473684	0	0.00699300699300699	11.3953488372093	0.203389830508475
ENSG00000176597	4.223	0.116696588868941	0.087719298245614	0.363636363636364	0.13986013986014	14.7441860465116	0.152542372881356
ENSG00000243147	3.693	1.20287253141831	3	1.68181818181818	1.99300699300699	19.9302325581395	2.49152542372881
ENSG00000215845	4.565	0.506283662477558	1.12280701754386	0.136363636363636	0.384615384615385	10.3023255813953	0.152542372881356
ENSG00000114541	2.043	1.01077199281867	0.578947368421053	0.5	0.468531468531469	13.6279069767442	0.186440677966102
ENSG00000188112	2.72	0.0359066427289048	0	0.0454545454545455	0.041958041958042	7.86046511627907	0.0169491525423729
ENSG00000123159	2.001	0.249551166965889	0.578947368421053	0.181818181818182	0.447552447552448	8.25581395348837	0.288135593220339
ENSG00000121742	0.496	0.00718132854578097	0	0	0.587412587412587	9.88372093023256	2.42372881355932
ENSG00000173801	6.418	0.066427289048474	0.228070175438596	0.0454545454545455	0.335664335664336	8.76744186046512	0.0847457627118644
ENSG00000150991	67.7	13.8276481149013	21.8771929824561	12.3181818181818	25.4755244755245	141.441860465116	26.4067796610169
ENSG00000182795	5.553	0.0448833034111311	0.12280701754386	0.0909090909090909	0.034965034965035	11.7209302325581	0.0847457627118644
ENSG00000272398	1.833	0.00718132854578097	0.0526315789473684	0.0909090909090909	0.454545454545455	12.6744186046512	0.0169491525423729
ENSG00000165997	3.192	0.156193895870736	0.350877192982456	0.545454545454545	0.48951048951049	11.8837209302326	0.508474576271186
ENSG00000139687	0.571	0.202872531418312	0.350877192982456	0.681818181818182	0.377622377622378	7.7906976744186	1.49152542372881
ENSG00000141579	2.101	0.0143626570915619	0	0	0.027972027972028	7.88372093023256	0.0338983050847458
ENSG00000175984	4.421	0.107719928186715	0.140350877192982	0.0454545454545455	0.0699300699300699	8.04651162790698	0.0677966101694915
ENSG00000173334	4.658	0.0377019748653501	0.140350877192982	1.09090909090909	1.39160839160839	12.8139534883721	0.898305084745763
ENSG00000136156	35.565	1.33034111310592	11.7368421052632	13.0454545454545	18.034965034965	56.8837209302326	8.06779661016949
ENSG00000132698	3.888	0.0341113105924596	0.0175438596491228	0.0454545454545455	0.020979020979021	6.37209302325581	0.0338983050847458
ENSG00000093010	5.333	0.572710951526032	1.43859649122807	0.363636363636364	1.96503496503496	11.4651162790698	5.69491525423729
ENSG00000155368	10.799	0.657091561938959	5.2280701754386	0.727272727272727	2.44055944055944	17.2790697674419	3.8135593220339
ENSG00000110092	2.695	0.0394973070017953	0.43859649122807	0.0909090909090909	0.699300699300699	8.04651162790698	0.508474576271186
ENSG00000105357	1.673	0.127468581687612	0.298245614035088	0	0.034965034965035	6.72093023255814	0.23728813559322
ENSG00000138166	9.72	0.129263913824057	0.245614035087719	0.818181818181818	0.510489510489511	16.2093023255814	0.694915254237288
ENSG00000137648	3.9	0.0215439856373429	0.0350877192982456	0	0.020979020979021	5.44186046511628	0.0677966101694915
ENSG00000164096	5.041	0.834829443447038	2.52631578947368	1.27272727272727	1.3986013986014	15.5116279069767	2.11864406779661
ENSG00000094975	1.138	0.639138240574506	1.10526315789474	0.590909090909091	0.496503496503497	7.11627906976744	0.457627118644068
ENSG00000086544	5.321	0.114901256732496	0.228070175438596	0.727272727272727	0.237762237762238	8.69767441860465	0.593220338983051
ENSG00000147883	3.045	0.100538599640934	0.0701754385964912	0.0454545454545455	0.167832167832168	6.88372093023256	0.0169491525423729
ENSG00000103089	0.189	0.00359066427289048	0	0	0	4.88372093023256	0
ENSG00000198729	1.198	0.00718132854578097	0.0175438596491228	0	0.041958041958042	5.13953488372093	0.0169491525423729
ENSG00000075624	71.879	1.72531418312388	10.6842105263158	12.4090909090909	27.958041958042	117.302325581395	24.0508474576271
ENSG00000133639	26.315	2.63734290843806	6.12280701754386	6.13636363636364	4.7972027972028	65.4186046511628	12.3728813559322
ENSG00000189433	2.926	0.0430879712746858	0.0526315789473684	0	0.048951048951049	6.65116279069767	0.0338983050847458
ENSG00000117472	4.37	0.0215439856373429	0.0350877192982456	0.0909090909090909	0.0769230769230769	6.27906976744186	0.0677966101694915
