fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000150459	3.372	3.182	3.956	3.10373443983402
ENSG00000138398	1.516	1.426	1.44	1.29045643153527
ENSG00000234608	0.186	0.19	0.238	0.159751037344398
ENSG00000157538	0.207	0.242	0.455	0.16597510373444
ENSG00000166848	1.27	1.285	0.926	0.811203319502075
ENSG00000169062	0.741	0.765	0.504	0.360995850622407
ENSG00000015133	0.014	0.358	0.137	0.012448132780083
ENSG00000123975	0.455	1.061	1.974	0.651452282157676
ENSG00000138757	0.742	1.013	1.078	0.599585062240664
ENSG00000275023	0.657	1.046	0.56	0.560165975103734
ENSG00000231721	1.14	1.113	1.602	0.852697095435685
ENSG00000092020	0.333	0.305	0.452	0.255186721991701
ENSG00000123143	0.625	1.308	1.104	0.574688796680498
ENSG00000177425	0.071	0.383	0.021	0.935684647302905
ENSG00000126561	0.405	0.308	0.734	0.192946058091286
ENSG00000233429	0.21	0.482	0.258	0.228215767634855
ENSG00000068878	0.277	0.205	0.512	0.145228215767635
ENSG00000088986	7.151	7.56	6.931	6.41286307053942
ENSG00000064012	0.11	0.158	0.304	0.029045643153527
ENSG00000115325	0.143	0.068	0.36	0.0643153526970954
ENSG00000160218	0.171	0.186	0.209	0.130705394190871
ENSG00000056097	1.153	0.877	1.096	0.757261410788382
ENSG00000106344	0.455	0.336	0.259	0.321576763485477
ENSG00000077721	0.794	0.63	1.008	0.560165975103734
ENSG00000007944	1.433	2.619	2.051	1.88381742738589
ENSG00000143153	0.229	0.14	1.956	0.0539419087136929
ENSG00000128881	0.316	0.291	0.373	0.29045643153527
ENSG00000140941	3.189	4.36	3.656	1.70746887966805
ENSG00000181610	0.393	0.322	0.31	0.309128630705394
ENSG00000214087	0.383	0.286	0.263	0.232365145228216
ENSG00000122203	0.266	0.312	0.409	0.226141078838174
ENSG00000068079	0.505	0.525	0.369	0.118257261410788
ENSG00000114744	0.43	0.323	0.424	0.215767634854772
ENSG00000197696	0.256	0.326	0.154	0.159751037344398
ENSG00000163904	0.437	0.239	0.232	0.16597510373444
ENSG00000168036	1.481	1.438	2.265	0.968879668049793
ENSG00000094631	0.157	0.194	0.175	0.0995850622406639
ENSG00000087088	0.92	0.899	1.155	0.50207468879668
ENSG00000196776	0.924	0.761	1.187	0.33402489626556
ENSG00000136813	0.581	0.454	0.471	0.294605809128631
ENSG00000117139	0.723	0.407	0.283	0.329875518672199
ENSG00000133316	0.384	0.286	0.504	0.265560165975104
ENSG00000089737	2.198	1.409	1.645	1.63692946058091
ENSG00000171604	0.307	0.309	0.5	0.477178423236515
ENSG00000181274	0.101	0.13	0.368	0.12655601659751
ENSG00000112739	0.969	1.015	1.022	0.823651452282158
ENSG00000053254	3.126	1.531	1.755	0.867219917012448
ENSG00000109787	1.138	1.015	1.103	0.29045643153527
ENSG00000140398	0.05	0.241	0.106	0.109958506224066
ENSG00000166233	1.242	1.385	1.745	1.24273858921162
ENSG00000104980	0.31	0.165	0.156	0.282157676348548
ENSG00000153046	0.493	0.471	0.364	0.300829875518672
ENSG00000137947	1.177	0.916	1.059	1.32572614107884
ENSG00000181061	0.805	0.303	0.376	0.508298755186722
ENSG00000184277	0.622	0.591	0.561	0.419087136929461
ENSG00000178607	0.166	0.234	1.235	0.149377593360996
ENSG00000121022	0.646	0.544	0.501	0.427385892116183
ENSG00000186834	1.056	2.523	2.844	1.6701244813278
ENSG00000124422	0.807	0.807	0.85	0.454356846473029
ENSG00000113312	0.561	0.598	0.662	0.419087136929461
ENSG00000109536	0.535	0.505	0.477	0.448132780082988
ENSG00000139687	0.287	0.827	1.306	0.354771784232365
ENSG00000103657	0.363	0.782	0.761	0.526970954356846
ENSG00000196199	1.774	1.473	0.961	1.35477178423237
ENSG00000110172	1.199	1.838	3.207	1.39004149377593
ENSG00000105058	0.699	0.479	0.648	0.452282157676349
ENSG00000172340	0.682	0.431	0.815	0.408713692946058
ENSG00000173611	0.102	0.105	0.083	0.0767634854771784
ENSG00000135338	0.31	0.144	0.039	0.122406639004149
ENSG00000177733	2.532	1.781	1.586	1.84647302904564
ENSG00000163349	0.429	0.482	0.934	0.537344398340249
ENSG00000179918	0.594	0.737	0.911	1.27593360995851
ENSG00000125089	0.012	0.064	0.483	0.012448132780083
