erythrocyte	classical_monocyte	neutrophil	memory_B_cell	plasma_cell	platelet
ENSG00000112419	0.012	0.981	0.381836945304438	0.200836820083682	0.195744680851064	0.2
ENSG00000067182	0.021	0.959	0.198142414860681	0.0167364016736402	0.0893617021276596	0.05
ENSG00000155189	0.007	0.108	0.00825593395252838	0.297071129707113	1.15744680851064	0.51
ENSG00000165487	0.025	0.407	0.0970072239422085	0.472803347280335	1.75744680851064	0.15
ENSG00000100897	0.171	0.367	0.146542827657379	0.267782426778243	1.09787234042553	0.16
ENSG00000104331	0.005	0.43	0.0412796697626419	0.104602510460251	1.5531914893617	0.15
ENSG00000105483	0.02	0.753	0.302373581011352	0.451882845188285	1.12340425531915	0.28
ENSG00000144579	0.034	1.054	0.346749226006192	0.435146443514644	1.11489361702128	0.64
ENSG00000105639	0.028	0.379	0.444788441692466	0.297071129707113	0.812765957446808	0.31
ENSG00000168538	0.007	0.359	0.086687306501548	0.184100418410042	0.493617021276596	0.05
ENSG00000166454	0.013	0.397	0.0619195046439628	0.276150627615063	1.36170212765957	0.14
ENSG00000095066	0.002	0.077	0.0165118679050568	0.125523012552301	0.208510638297872	0.02
ENSG00000105851	0.006	0.423	0.377708978328173	0.188284518828452	1.61276595744681	0.11
ENSG00000139636	0.006	0.222	0.0557275541795666	0.259414225941423	0.378723404255319	0.02
ENSG00000070495	0.007	0.383	0.33952528379773	0.171548117154812	1.23404255319149	0.1
ENSG00000134444	0.01	0.393	0.117647058823529	0.280334728033473	0.48936170212766	0.09
ENSG00000131263	0.008	0.433	0.116615067079463	0.238493723849372	0.378723404255319	0.12
ENSG00000170234	0.01	0.276	0.0815273477812178	0.292887029288703	0.651063829787234	0.17
ENSG00000107829	0.038	0.082	0.0165118679050568	0.288702928870293	0.404255319148936	0.02
ENSG00000103657	0.076	0.499	0.155830753353973	0.564853556485356	1.49787234042553	0.6
ENSG00000078142	0.008	0.388	0.103199174406605	0.276150627615063	0.723404255319149	0.07
ENSG00000162378	0.006	0.581	0.143446852425181	0.167364016736402	0.493617021276596	0.12
ENSG00000100239	0.026	0.35	0.119711042311662	0.330543933054393	1.10212765957447	0.09
ENSG00000109586	0.001	0.363	0.108359133126935	0.0920502092050209	0.408510638297872	0.04
ENSG00000135124	0.015	0.709	0.0268317853457172	0.121338912133891	0.663829787234043	0.06
ENSG00000085449	0.004	0.422	0.0619195046439628	0.322175732217573	0.736170212765957	0.18
ENSG00000158615	0.03	0.633	0.29514963880289	0.418410041841004	1.54468085106383	0.06
ENSG00000105122	0.016	0.14	0.1671826625387	0.322175732217573	0.978723404255319	0.05
ENSG00000182473	0.033	0.399	0.100103199174407	0.280334728033473	0.804255319148936	0.08
ENSG00000160570	0.045	0.433	0.209494324045408	0.259414225941423	0.931914893617021	0.11
ENSG00000185946	0.017	0.641	0.160990712074303	0.502092050209205	0.765957446808511	0.06
ENSG00000178381	0.023	0.402	0.121775025799794	0.380753138075314	1.12340425531915	0.39
ENSG00000127334	0.009	0.155	0.00722394220846233	0.359832635983264	0.25531914893617	0.03
ENSG00000028310	0.011	0.378	0.0629514963880289	0.410041841004184	1.4	0.05
ENSG00000206560	0.009	0.168	0.192982456140351	0.200836820083682	4.31914893617021	0.76
ENSG00000185198	0.003	0.011	0.0206398348813209	0.00418410041841004	0.00851063829787234	0
ENSG00000234741	0.048	1.357	0.202270381836945	4.84937238493724	3.96170212765957	0.43
ENSG00000189060	0.488	1.351	0.396284829721362	0.0376569037656904	0.153191489361702	0.93
ENSG00000104341	0.006	0.038	0.0206398348813209	0.0209205020920502	0.0851063829787234	1.49
ENSG00000095932	0.13	0.014	0.0185758513931889	0.00418410041841004	0.00851063829787234	0.03
ENSG00000135046	0.1	8.039	3.46646026831785	0.150627615062762	0.897872340425532	0.21
ENSG00000180530	0.008	1.173	0.205366357069143	0.317991631799163	0.280851063829787	0.65
ENSG00000233016	0.014	0.39	0.0536635706914345	1.00836820083682	1.3063829787234	0.43
ENSG00000123505	0.046	1.007	0.196078431372549	0.920502092050209	2.85957446808511	1.85
ENSG00000172889	0.017	0.052	0.00722394220846233	0.00836820083682008	0.025531914893617	1.53
ENSG00000120833	0.004	0.009	0.00309597523219814	0.0167364016736402	0.114893617021277	0.28
ENSG00000171843	0.009	0.037	0.00619195046439629	0.0711297071129707	0.306382978723404	0.41
ENSG00000124575	0.068	2.46	0.547987616099071	3.00418410041841	38.5148936170213	0.15
ENSG00000153944	0.091	0.236	0.0288957688338493	0.585774058577406	2.87659574468085	0.21
ENSG00000204628	0.345	15.474	1.36326109391125	19.6443514644351	60.5446808510638	4.35
ENSG00000145425	0.729	19.626	2.19504643962848	33.2092050209205	68.6212765957447	8.06
