Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture57,erythrocyte,0.9995130177580721,0.7755829372614382,False
Blood,Mixture57,classical_monocyte,0.9992154863983849,0.9647906415149945,True
Blood,Mixture57,neutrophil,0.9994943896497326,0.9168574900271758,True
Blood,Mixture57,memory_B_cell,0.9993903284150081,0.9850214568164964,True
Blood,Mixture57,plasma_cell,0.9994872068339764,0.9992599501387807,True
Blood,Mixture57,platelet,0.999553376702053,0.9995324798766408,True
Blood,Mixture58,erythrocyte,0.9995130177580721,0.9995130177580721,True
Blood,Mixture58,classical_monocyte,0.9992154863983849,0.9787819345308187,True
Blood,Mixture58,neutrophil,0.9994943896497326,0.8481093546972729,True
Blood,Mixture58,memory_B_cell,0.9993903284150081,0.9850642982408131,True
Blood,Mixture58,plasma_cell,0.9994872068339764,0.9982923370341137,True
Blood,Mixture58,platelet,0.999553376702053,0.9915884228785066,True
Blood,Mixture59,erythrocyte,0.9995130177580721,0.7702558984077875,False
Blood,Mixture59,classical_monocyte,0.9992154863983849,0.9603170841017152,True
Blood,Mixture59,neutrophil,0.9994943896497326,0.9258374228930811,True
Blood,Mixture59,memory_B_cell,0.9993903284150081,0.998846984265664,True
Blood,Mixture59,plasma_cell,0.9994872068339764,0.999361642816078,True
Blood,Mixture59,platelet,0.999553376702053,0.9995260834887522,True
Blood,Mixture60,erythrocyte,0.9995130177580721,0.764481286808332,False
Blood,Mixture60,classical_monocyte,0.9992154863983849,0.9962525006157429,True
Blood,Mixture60,neutrophil,0.9994943896497326,0.9213372844923023,True
Blood,Mixture60,memory_B_cell,0.9993903284150081,0.9769221882337087,True
Blood,Mixture60,plasma_cell,0.9994872068339764,0.9992130887430254,True
Blood,Mixture60,platelet,0.999553376702053,0.9976482724944872,True
Blood,Mixture61,erythrocyte,0.9995130177580721,0.7802894892829692,False
Blood,Mixture61,classical_monocyte,0.9992154863983849,0.9552775189619512,True
Blood,Mixture61,neutrophil,0.9994943896497326,0.9051178106393627,True
Blood,Mixture61,memory_B_cell,0.9993903284150081,0.9825232710401707,True
Blood,Mixture61,plasma_cell,0.9994872068339764,0.999023918905868,True
Blood,Mixture61,platelet,0.999553376702053,0.9995128810307206,True
Blood,Mixture62,erythrocyte,0.9995130177580721,0.7708142107434169,False
Blood,Mixture62,classical_monocyte,0.9992154863983849,0.9618732175128931,True
Blood,Mixture62,neutrophil,0.9994943896497326,0.9327618945064785,True
Blood,Mixture62,memory_B_cell,0.9993903284150081,0.9782827485576883,True
Blood,Mixture62,plasma_cell,0.9994872068339764,0.9991626255719627,True
Blood,Mixture62,platelet,0.999553376702053,0.999467396153804,True
Blood,Mixture63,erythrocyte,0.9995130177580721,0.6623953084285815,False
Blood,Mixture63,classical_monocyte,0.9992154863983849,0.9269494781045748,True
Blood,Mixture63,neutrophil,0.9994943896497326,0.9749736748248994,True
