Tissue,Mixture,MeanPerturbedSpearman,MeanRecoveredSpearman,MinRecoveredSpearman,MeanPass_0_8,AllCellTypesPass_0_8,MetaSortIterations,MetaSortConverged,Proportion_erythrocyte,Proportion_classical_monocyte,Proportion_neutrophil,Proportion_memory_B_cell,Proportion_plasma_cell,Proportion_platelet
Blood,Mixture65,0.9994423009595378,0.9233991640873445,0.7589459441882852,True,False,16,True,0.235270702016567,0.29363080045934026,0.2471176351161041,0.1805528082439544,0.04258569089167376,0.000842363272360564
Blood,Mixture66,0.9994423009595378,0.9611220001749062,0.8152931743487355,True,True,22,True,0.0,0.18601542148314965,0.6546515836041473,0.04960936169822049,0.04052493587242378,0.06919869734205883
Blood,Mixture67,0.9994423009595378,0.9249284901672093,0.646646900084821,True,False,26,True,0.4449156821429386,0.33196715397182586,0.020094392563009756,0.09530327790947514,0.10485935593607663,0.0028601374766741173
Blood,Mixture68,0.9994423009595378,0.926489997050115,0.7842484977109884,True,False,13,True,0.13963383814018604,0.42929197238479255,0.25569976840019615,0.11206834279101643,0.061680605549141614,0.001625472734667133
Blood,Mixture69,0.9994423009595378,0.9135240886999458,0.7108738478351085,True,False,22,True,0.33346869079510294,0.22613482777971852,0.38681782335515,0.01649401973605971,0.03676043934056287,0.00032419899340598127
Blood,Mixture70,0.9994423009595378,0.9200266568646073,0.7358527471150536,True,False,22,True,0.30605305631848106,0.31442921952062497,0.30557720358736506,0.017715135325907842,0.05500976739239994,0.0012156178552210643
Blood,Mixture71,0.9994423009595378,0.9092209707717243,0.6906171216800696,True,False,17,True,0.32182809252776706,0.2526073650754474,0.36556269601680197,0.013456672717411959,0.04629641678983139,0.00024875687274019797
Blood,Mixture72,0.9994423009595378,0.93824196020917,0.7717643001649598,True,False,20,True,0.22836086646933249,0.3355792220497627,0.30607188476432184,0.08210117145340295,0.0,0.04788685526317999
Blood,Mixture73,0.9994423009595378,0.9056111039892271,0.6940552227143186,True,False,17,True,0.29684695398999056,0.2792956579767449,0.32162214481147133,0.008611724411057576,0.07881829917158334,0.014805219639152278
Blood,Mixture74,0.9994423009595378,0.9267642766587656,0.7092616834586567,True,False,21,True,0.3439116798167342,0.3451418973566834,0.17104028511761998,0.06564288295684456,0.042366038215101806,0.03189721653701619
Blood,Mixture75,0.9994423009595378,0.9315934414671196,0.7832086983862346,True,False,24,True,0.194507263581961,0.35401748093114455,0.30692487201068236,0.09821090868796521,0.046226326242594845,0.00011314854565207217
Blood,Mixture76,0.9994423009595378,0.9144942189210498,0.627315637210058,True,False,22,True,0.4263459840729111,0.3759727347243139,0.003512570967566608,0.05734000723333489,0.13263186142479919,0.004196841577074352
Blood,Mixture77,0.9994423009595378,0.9131459771026887,0.7119150548880017,True,False,24,True,0.33603611572708825,0.2928434708193359,0.28809552206745404,0.01742140458273365,0.06456121452568456,0.00104227227770361
Blood,Mixture78,0.9994423009595378,0.9187217441522598,0.6935154768573342,True,False,24,True,0.4727139439856749,0.04344946869009823,0.27846998223063046,0.11860670833235863,0.05223928561239222,0.03452061114884546
Blood,Mixture79,0.9994423009595378,0.909009302958101,0.7211585243919805,True,False,18,True,0.11946720572906536,0.25299429247050614,0.5331566955290777,0.014932726584893462,0.07857702265956497,0.0008720570268924188
Blood,Mixture80,0.9994423009595378,0.9336390513739747,0.7217179965257249,True,False,14,True,0.25058329754832287,0.4190215654122115,0.2104257173335305,0.08069303728442422,0.0,0.03927638242151088
Blood,Mixture81,0.9994423009595378,0.9292785814166628,0.7269153079748083,True,False,18,True,0.29396198587756805,0.3296431360205653,0.19056837982233635,0.11026990251533828,0.03731871881754269,0.03823787694664933
Blood,Mixture82,0.9994423009595378,0.9156978917614419,0.7091239420313853,True,False,17,True,0.3349375761611804,0.3195394560375966,0.28245068237608517,0.013769278439971359,0.04814846113739491,0.001154545847771522
Blood,Mixture83,0.9994423009595378,0.9443661108207624,0.7627749156935856,True,False,33,True,8.549950458034513e-07,0.37815988549246116,0.41733580759092176,0.08915418351307418,0.05575597441020108,0.05959329399829605
Blood,Mixture84,0.9994423009595378,0.9201473693108723,0.766760161847735,True,False,21,True,0.1654268604258533,0.3844585813645527,0.3681355948062513,0.014734664300879713,0.05641912605766334,0.010825173044799458
Blood,Mixture85,0.9994423009595378,0.941456409864636,0.811361280930225,True,True,15,True,0.15671866370298146,0.464517773016306,0.159170931867696,0.18724709388289204,0.032306004176060533,3.953335406408278e-05
Blood,Mixture86,0.9994423009595378,0.9509987563776859,0.8287872908039435,True,True,18,True,0.1641909259823168,0.4330773859705758,0.2986224876863351,0.06657291437821876,0.0,0.03753628598255355
Blood,Mixture87,0.9994423009595378,0.9171724023984518,0.7173429812486452,True,False,19,True,0.3121678430821058,0.32531553989939105,0.3059125207017796,0.015274070052105711,0.04092618781984504,0.0004038384447727686
Blood,Mixture88,0.9994423009595378,0.9353541042331456,0.7224999378824849,True,False,14,True,0.29668625959009615,0.37140908634508635,0.19179392275629997,0.09087432478981805,0.0,0.04923640651869954
Blood,Mixture89,0.9994423009595378,0.908407697520032,0.682256052788951,True,False,22,True,0.34349839823336936,0.0392026025125337,0.349432530871296,0.09820515608122916,0.09296404700571728,0.07669726529585438
Blood,Mixture90,0.9994423009595378,0.9158835279665284,0.729056966976993,True,False,29,True,0.2854716367510565,0.20684668049363172,0.4233829226322251,0.03545967637826376,0.04841043147335989,0.00042865227146308553
Blood,Mixture91,0.9994423009595378,0.9128070703672525,0.681316916695557,True,False,16,True,0.3311047181724447,0.32997746714034587,0.1932827726269158,0.013950286861197564,0.10834603046781374,0.023338724731282227
Blood,Mixture92,0.9994423009595378,0.9290952646583098,0.7357265334342338,True,False,15,True,0.2791408883559999,0.40480567679471097,0.16551913382944722,0.08345159529551321,0.06031552189624649,0.006767183828082247
Blood,Mixture93,0.9994423009595378,0.9240764831667064,0.6959007371915811,True,False,21,True,0.3872991532868222,0.25841263489773764,0.26440070649273295,0.014996686624745566,0.027408593418878614,0.04748222527908316
Blood,Mixture94,0.9994423009595378,0.9179606692708147,0.7449883273182583,True,False,30,True,0.22946730364982018,0.3341719115058991,0.34792700111178193,0.04611607006462667,0.04097010280257959,0.0013476108652924676
Blood,Mixture95,0.9994423009595378,0.9201805290351636,0.7304662994819723,True,False,13,True,0.30437909400029295,0.2388856057920287,0.27815400287182385,0.11795083204833882,0.05849875400948831,0.0021317112780274497
Blood,Mixture96,0.9994423009595378,0.9164063774514579,0.7565319990820422,True,False,29,True,0.22836122552152482,0.1832693924069371,0.5238547380442615,0.00034520727976998245,0.06412216111421343,4.727563329305357e-05
Blood,Mixture97,0.9994423009595378,0.9157659320511394,0.7366370193956413,True,False,25,True,0.24273777433970092,0.32329899195518186,0.3556673414383362,0.017426585288619522,0.05980698279270811,0.0010623241854533316
Blood,Mixture98,0.9994423009595378,0.9196726505293774,0.7221373401054523,True,False,22,True,0.3293931101370519,0.27998782897581476,0.3252656284735077,0.02087863399244268,0.04420851554736826,0.0002662828738149534
Blood,Mixture99,0.9994423009595378,0.9118457978285934,0.7449719763608041,True,False,23,True,0.2024575365643054,0.3379648465825838,0.3815022162349272,0.01526557217044827,0.06189134823516538,0.0009184802125700216
Blood,Mixture100,0.9994423009595378,0.9202939330269628,0.7331638155901711,True,False,15,True,0.2499830307554505,0.4090657484672478,0.18737188913449782,0.07384446387276128,0.0744428105055674,0.005292057264475354
