Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture46,classical_monocyte,0.9992154863983849,0.9493289358546917,True
Blood,Mixture46,neutrophil,0.9994943896497326,0.8745891352448122,True
Blood,Mixture46,memory_B_cell,0.9993903284150081,0.9439451830461226,True
Blood,Mixture46,plasma_cell,0.9994872068339764,0.9984905879430569,True
Blood,Mixture46,platelet,0.999553376702053,0.9976562667381943,True
Blood,Mixture47,erythrocyte,0.9995130177580721,0.682196906783489,False
Blood,Mixture47,classical_monocyte,0.9992154863983849,0.974272446353563,True
Blood,Mixture47,neutrophil,0.9994943896497326,0.9737252482592853,True
Blood,Mixture47,memory_B_cell,0.9993903284150081,0.9760054102830139,True
Blood,Mixture47,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture47,platelet,0.999553376702053,0.9943775320218573,True
Blood,Mixture48,erythrocyte,0.9995130177580721,0.6864650435976104,False
Blood,Mixture48,classical_monocyte,0.9992154863983849,0.8268351319392645,True
Blood,Mixture48,neutrophil,0.9994943896497326,0.9721215362225856,True
Blood,Mixture48,memory_B_cell,0.9993903284150081,0.8700841177470576,True
Blood,Mixture48,plasma_cell,0.9994872068339764,0.9964578838998707,True
Blood,Mixture48,platelet,0.999553376702053,0.9937087604602582,True
Blood,Mixture49,erythrocyte,0.9995130177580721,0.786348117230569,False
Blood,Mixture49,classical_monocyte,0.9992154863983849,0.949160609464269,True
Blood,Mixture49,neutrophil,0.9994943896497326,0.8017732689536704,True
Blood,Mixture49,memory_B_cell,0.9993903284150081,0.999361954214616,True
Blood,Mixture49,plasma_cell,0.9994872068339764,0.9977785476181837,True
Blood,Mixture49,platelet,0.999553376702053,0.9994826457963206,True
Blood,Mixture50,erythrocyte,0.9995130177580721,0.742941356898491,False
Blood,Mixture50,classical_monocyte,0.9992154863983849,0.9579681131951673,True
Blood,Mixture50,neutrophil,0.9994943896497326,0.9314567206004041,True
Blood,Mixture50,memory_B_cell,0.9993903284150081,0.9769813364044385,True
Blood,Mixture50,plasma_cell,0.9994872068339764,0.9994009174936324,True
Blood,Mixture50,platelet,0.999553376702053,0.9962500614706828,True
Blood,Mixture51,erythrocyte,0.9995130177580721,0.814382261938164,True
Blood,Mixture51,classical_monocyte,0.9992154863983849,0.9759312507306528,True
Blood,Mixture51,neutrophil,0.9994943896497326,0.914959478783247,True
Blood,Mixture51,memory_B_cell,0.9993903284150081,0.9837971389381934,True
Blood,Mixture51,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture51,platelet,0.999553376702053,0.9945320455485704,True
Blood,Mixture52,erythrocyte,0.9995130177580721,0.7686389894208426,False
Blood,Mixture52,classical_monocyte,0.9992154863983849,0.8947822310437242,True
Blood,Mixture52,neutrophil,0.9994943896497326,0.9950763764068359,True
Blood,Mixture52,memory_B_cell,0.9993903284150081,0.9861289752103859,True
Blood,Mixture52,plasma_cell,0.9994872068339764,0.9985387904253629,True
Blood,Mixture52,platelet,0.999553376702053,0.9980279336353639,True
Blood,Mixture53,erythrocyte,0.9995130177580721,0.7531873134603455,False
Blood,Mixture53,classical_monocyte,0.9992154863983849,0.960438587749386,True
Blood,Mixture53,neutrophil,0.9994943896497326,0.876352982245741,True
Blood,Mixture53,memory_B_cell,0.9993903284150081,0.9761233029840358,True
Blood,Mixture53,plasma_cell,0.9994872068339764,0.9992243155532923,True
Blood,Mixture53,platelet,0.999553376702053,0.9978446389049193,True
Blood,Mixture54,erythrocyte,0.9995130177580721,0.7077084402312239,False
Blood,Mixture54,classical_monocyte,0.9992154863983849,0.9543195611078799,True
Blood,Mixture54,neutrophil,0.9994943896497326,0.8336863603963367,True
Blood,Mixture54,memory_B_cell,0.9993903284150081,0.9984631755246585,True
Blood,Mixture54,plasma_cell,0.9994872068339764,0.9990230376204202,True
Blood,Mixture54,platelet,0.999553376702053,0.9995186680298564,True
Blood,Mixture55,erythrocyte,0.9995130177580721,0.7882136962372253,False
Blood,Mixture55,classical_monocyte,0.9992154863983849,0.9368291943058631,True
Blood,Mixture55,neutrophil,0.9994943896497326,0.8755740199727349,True
Blood,Mixture55,memory_B_cell,0.9993903284150081,0.9648125699449179,True
Blood,Mixture55,plasma_cell,0.9994872068339764,0.9987389188554773,True
Blood,Mixture55,platelet,0.999553376702053,0.9995073036627186,True
Blood,Mixture56,erythrocyte,0.9995130177580721,0.7632198612177116,False
Blood,Mixture56,classical_monocyte,0.9992154863983849,0.9474912612648637,True
Blood,Mixture56,neutrophil,0.9994943896497326,0.790197753305162,False
Blood,Mixture56,memory_B_cell,0.9993903284150081,0.9982168123418199,True
Blood,Mixture56,plasma_cell,0.9994872068339764,0.9973487483335036,True
Blood,Mixture56,platelet,0.999553376702053,0.9985347047501439,True
Blood,Mixture57,erythrocyte,0.9995130177580721,0.7436814633581217,False
Blood,Mixture57,classical_monocyte,0.9992154863983849,0.9555961436882903,True
Blood,Mixture57,neutrophil,0.9994943896497326,0.8550454517864162,True
Blood,Mixture57,memory_B_cell,0.9993903284150081,0.974822322407927,True
Blood,Mixture57,plasma_cell,0.9994872068339764,0.9990257197935215,True
Blood,Mixture57,platelet,0.999553376702053,0.9995279964412848,True
Blood,Mixture58,erythrocyte,0.9995130177580721,0.9995130177580721,True
Blood,Mixture58,classical_monocyte,0.9992154863983849,0.9741620438133383,True
Blood,Mixture58,neutrophil,0.9994943896497326,0.8006151261889387,True
Blood,Mixture58,memory_B_cell,0.9993903284150081,0.9816581163565476,True
Blood,Mixture58,plasma_cell,0.9994872068339764,0.9974299407618086,True
Blood,Mixture58,platelet,0.999553376702053,0.9872723004316861,True
Blood,Mixture59,erythrocyte,0.9995130177580721,0.7353438880522,False
Blood,Mixture59,classical_monocyte,0.9992154863983849,0.9506568794288227,True
Blood,Mixture59,neutrophil,0.9994943896497326,0.8969944445107756,True
Blood,Mixture59,memory_B_cell,0.9993903284150081,0.9981552358927371,True
Blood,Mixture59,plasma_cell,0.9994872068339764,0.9991702506069221,True
Blood,Mixture59,platelet,0.999553376702053,0.9995242058211293,True
Blood,Mixture60,erythrocyte,0.9995130177580721,0.7079227407159279,False
Blood,Mixture60,classical_monocyte,0.9992154863983849,0.9951400542343406,True
Blood,Mixture60,neutrophil,0.9994943896497326,0.8639875876518497,True
Blood,Mixture60,memory_B_cell,0.9993903284150081,0.9645649071546238,True
Blood,Mixture60,plasma_cell,0.9994872068339764,0.9989835330423142,True
Blood,Mixture60,platelet,0.999553376702053,0.9968775708036457,True
Blood,Mixture61,erythrocyte,0.9995130177580721,0.7490658491544506,False
Blood,Mixture61,classical_monocyte,0.9992154863983849,0.9422864261875756,True
Blood,Mixture61,neutrophil,0.9994943896497326,0.8627772070727262,True
