Tissue,Mixture,CellType,Spearman
Blood,Mixture68,erythrocyte,0.7811283799399923
Blood,Mixture68,classical_monocyte,0.9385876250603686
Blood,Mixture68,neutrophil,0.871880427363728
Blood,Mixture68,memory_B_cell,0.972784396320927
Blood,Mixture68,plasma_cell,0.9990596684416322
Blood,Mixture68,platelet,0.9999196075418986
Blood,Mixture69,erythrocyte,0.7531234955924552
Blood,Mixture69,classical_monocyte,0.9739578066335419
Blood,Mixture69,neutrophil,0.8409312064116681
Blood,Mixture69,memory_B_cell,0.9751229357539097
Blood,Mixture69,plasma_cell,0.9994893908892162
Blood,Mixture69,platelet,0.9999253174281277
Blood,Mixture70,erythrocyte,0.724736612056657
Blood,Mixture70,classical_monocyte,0.9605936916750385
Blood,Mixture70,neutrophil,0.8427708840131249
Blood,Mixture70,memory_B_cell,0.9979097347668663
Blood,Mixture70,plasma_cell,0.9989773640441814
Blood,Mixture70,platelet,0.9979171445539352
Blood,Mixture71,erythrocyte,0.7215771114233106
Blood,Mixture71,classical_monocyte,0.9707281332079791
Blood,Mixture71,neutrophil,0.8463485317154823
Blood,Mixture71,memory_B_cell,0.986028836287437
Blood,Mixture71,plasma_cell,0.9992092570671666
Blood,Mixture71,platelet,1.0
Blood,Mixture72,erythrocyte,0.7836542504268288
Blood,Mixture72,classical_monocyte,0.9780278908573175
Blood,Mixture72,neutrophil,0.9251076005530426
Blood,Mixture72,memory_B_cell,0.9816169241285496
Blood,Mixture72,plasma_cell,1.0
Blood,Mixture72,platelet,0.9965983443353136
Blood,Mixture73,erythrocyte,0.7059070203513171
Blood,Mixture73,classical_monocyte,0.9498393381676234
Blood,Mixture73,neutrophil,0.8082816774283832
Blood,Mixture73,memory_B_cell,0.9989527409548171
Blood,Mixture73,plasma_cell,0.9977095391359635
Blood,Mixture73,platelet,0.9959452436755808
Blood,Mixture74,erythrocyte,0.6940124902673573
Blood,Mixture74,classical_monocyte,0.9539213257551795
Blood,Mixture74,neutrophil,0.9200195694890433
Blood,Mixture74,memory_B_cell,0.991787840592096
Blood,Mixture74,plasma_cell,0.9996466811832271
Blood,Mixture74,platelet,0.9962288612235931
Blood,Mixture75,erythrocyte,0.7798101589675518
Blood,Mixture75,classical_monocyte,0.9649938680519256
Blood,Mixture75,neutrophil,0.8680439442585342
Blood,Mixture75,memory_B_cell,0.9708621894640512
Blood,Mixture75,plasma_cell,0.9992510223340293
Blood,Mixture75,platelet,0.9998645035350457
Blood,Mixture76,erythrocyte,0.6237226103427044
Blood,Mixture76,classical_monocyte,0.8746395287690826
Blood,Mixture76,neutrophil,0.9986266655916992
Blood,Mixture76,memory_B_cell,0.995007208508504
Blood,Mixture76,plasma_cell,0.998241279919497
Blood,Mixture76,platelet,0.9987388734986644
Blood,Mixture77,erythrocyte,0.7035878121127715
Blood,Mixture77,classical_monocyte,0.9534540448974084
Blood,Mixture77,neutrophil,0.8274737122165491
Blood,Mixture77,memory_B_cell,0.9980383478145028
Blood,Mixture77,plasma_cell,0.9985351886500555
Blood,Mixture77,platelet,0.9962606286076279
Blood,Mixture78,erythrocyte,0.6962441233503569
Blood,Mixture78,classical_monocyte,0.9945686385044522
Blood,Mixture78,neutrophil,0.8804286468170491
Blood,Mixture78,memory_B_cell,0.9715367858807183
Blood,Mixture78,plasma_cell,0.9992414048276232
Blood,Mixture78,platelet,0.99568163042538
Blood,Mixture79,erythrocyte,0.7811903494481266
Blood,Mixture79,classical_monocyte,0.9574830774464291
Blood,Mixture79,neutrophil,0.7172925621965538
Blood,Mixture79,memory_B_cell,0.9981127989952397
Blood,Mixture79,plasma_cell,0.9968952280462774
Blood,Mixture79,platelet,0.9999267350420895
Blood,Mixture80,erythrocyte,0.6902988054518534
Blood,Mixture80,classical_monocyte,0.9623655608459768
Blood,Mixture80,neutrophil,0.962620585978894
Blood,Mixture80,memory_B_cell,0.9789710078285565
Blood,Mixture80,plasma_cell,1.0
Blood,Mixture80,platelet,0.996229976596274
