Tissue,Mixture,L1_Error,Accuracy,Iterations,Pred_erythrocyte,Pred_classical_monocyte,Pred_neutrophil,Pred_memory_B_cell,Pred_plasma_cell,Pred_platelet,Truth_erythrocyte,Truth_classical_monocyte,Truth_neutrophil,Truth_memory_B_cell,Truth_plasma_cell,Truth_platelet
Blood,Mixture23,0.1864033187700012,0.9067983406149994,22,0.2394765747865087,0.3178026060969702,0.3388210368980381,0.0288260489539305,0.0671474860971813,0.0079262471673712,0.2214545178904518,0.2714490525619568,0.3972450449548757,0.0,0.0720696554315393,0.037781729161176
Blood,Mixture24,0.1470052786646169,0.9264973606676916,38,0.2957423452500039,0.2744260803399972,0.3304836024535146,0.0462937773463373,1.260180694193214e-06,0.0530529344294528,0.2781893004718721,0.2238611134900111,0.3794111682635622,0.0708688508685982,0.0,0.0476695669059564
Blood,Mixture25,0.1402783080559352,0.9298608459720324,26,0.0,0.3061963360511077,0.5049751986925878,0.0985884188829859,0.0247048948264595,0.0655351515468591,0.0,0.3160144135841208,0.4468208951630747,0.1274277568977719,0.0561866333066279,0.0535503010484045
Blood,Mixture26,0.2221555649884874,0.8889222175057563,23,0.1924538572201548,0.2192155045679072,0.4901077747378028,0.0145084670878648,0.0808702556618992,0.0028441407243709,0.168935636595114,0.141168568295917,0.4893424373944811,0.0822719987006919,0.0721229674080083,0.0461583916057877
Blood,Mixture27,0.1366081304084999,0.93169593479575,19,0.2606813211462553,0.2160526341212551,0.4261932877236206,0.0614717359489743,0.0356010210598946,0.0,0.2493572392179701,0.171223857138947,0.4844738001356262,0.0493205296553176,0.0456245738521389,0.0
Blood,Mixture28,0.1990034643492088,0.9004982678253955,29,0.2372107838751853,0.3863934146289277,0.2557003319774413,0.0655436812140722,0.0,0.0551517883043734,0.218099770409905,0.309396232299341,0.321462910774222,0.0992828345918959,0.0,0.051758251924636
Blood,Mixture29,0.6369426554776524,0.6815286722611738,30,2.209601733739475e-05,0.1730198108096237,0.4650399870857594,0.20022405992587,0.0683411266637847,0.0933529194976247,0.0,0.4589554368833167,0.3031372007441338,0.0700986749729053,0.1008768283289179,0.0669318590707261
Blood,Mixture30,0.1809929075676939,0.909503546216153,20,0.3158283975972162,0.2214287680904008,0.233838272207578,0.1763199402024735,0.0521141117190091,0.0004705101833222,0.2746840009913953,0.1789350733101112,0.2710045044998193,0.1694615778047372,0.0696753271406451,0.0362395162532918
Blood,Mixture31,0.1325485195499673,0.9337257402250164,12,0.2132747644785564,0.55850906186245,0.0009717066600469,0.1110307092378844,0.0883174825279102,0.0278962752331518,0.211327128270382,0.5036181832699301,0.0,0.102566670923642,0.132957180095265,0.0495308374407808
Blood,Mixture32,0.2370211802101051,0.8814894098949474,22,0.3187218509172202,0.2639385214132521,0.3317008778486,0.0196869843289845,0.0651975511549547,0.0007542143369884,0.2704093776803442,0.2134273888740601,0.4028109737353282,0.0,0.0692652888135743,0.0440869708966932
